Chromagram_Mean,Chromagram_Median,Chromagram_Std,RootMeanSquare_Mean,RootMeanSquare_Median,RootMeanSquare_Std,SpectralCentroid_Mean,SpectralCentroid_Median,SpectralCentroid_Std,SpectralBandwidth_Mean,SpectralBandwidth_Median,SpectralBandwidth_Std,Rolloff_Mean,Rolloff_Median,Rolloff_Std,ZeroCrossingRate_Mean,ZeroCrossingRate_Median,ZeroCrossingRate_Std,MFCC1_Mean,MFCC1_Median,MFCC1_Std,MFCC2_Mean,MFCC2_Median,MFCC2_Std,MFCC3_Mean,MFCC3_Median,MFCC3_Std,MFCC4_Mean,MFCC4_Median,MFCC4_Std,MFCC5_Mean,MFCC5_Median,MFCC5_Std,MFCC6_Mean,MFCC6_Median,MFCC6_Std,MFCC7_Mean,MFCC7_Median,MFCC7_Std,MFCC8_Mean,MFCC8_Median,MFCC8_Std,MFCC9_Mean,MFCC9_Median,MFCC9_Std,MFCC10_Mean,MFCC10_Median,MFCC10_Std,MFCC11_Mean,MFCC11_Median,MFCC11_Std,MFCC12_Mean,MFCC12_Median,MFCC12_Std,MFCC13_Mean,MFCC13_Median,MFCC13_Std,MFCC14_Mean,MFCC14_Median,MFCC14_Std,MFCC15_Mean,MFCC15_Median,MFCC15_Std,MFCC16_Mean,MFCC16_Median,MFCC16_Std,MFCC17_Mean,MFCC17_Median,MFCC17_Std,MFCC18_Mean,MFCC18_Median,MFCC18_Std,MFCC19_Mean,MFCC19_Median,MFCC19_Std,MFCC20_Mean,MFCC20_Median,MFCC20_Std
0.21601231,0.21601231,0.0,0.040299363,0.040299363,0.0,1933.9413854730926,1933.9413854730926,0.0,2216.9533522488377,2216.9533522488377,0.0,3999.3687947591147,3999.3687947591147,0.0,0.06904771592881945,0.06904771592881945,0.0,-381.82755,-381.82755,0.0,54.12945,54.12945,0.0,-5.604672,-5.604672,0.0,15.999406,15.999406,0.0,-13.208038,-13.208038,0.0,-2.3050058,-2.3050058,0.0,-21.373829,-21.373829,0.0,-6.662316,-6.662316,0.0,-9.433024,-9.433024,0.0,-15.597451,-15.597451,0.0,-4.2720695,-4.2720695,0.0,-13.614497,-13.614497,0.0,-8.953724,-8.953724,0.0,-12.331852,-12.331852,0.0,-11.368988,-11.368988,0.0,0.49685696,0.49685696,0.0,-10.416289,-10.416289,0.0,-4.1920075,-4.1920075,0.0,1.9430836,1.9430836,0.0,-6.7982326,-6.7982326,0.0
0.19272414,0.19272414,0.0,0.069070816,0.069070816,0.0,2393.2233328244315,2393.2233328244315,0.0,2376.4376129365023,2376.4376129365023,0.0,4985.858662923177,4985.858662923177,0.0,0.09126677336516203,0.09126677336516203,0.0,-330.81635,-330.81635,0.0,25.411726,25.411726,0.0,-9.300281,-9.300281,0.0,4.0821414,4.0821414,0.0,-25.293753,-25.293753,0.0,0.83369935,0.83369935,0.0,-27.21653,-27.21653,0.0,-17.174704,-17.174704,0.0,-3.2402909,-3.2402909,0.0,-17.161171,-17.161171,0.0,-13.052509,-13.052509,0.0,-10.317528,-10.317528,0.0,-5.7188945,-5.7188945,0.0,-5.156174,-5.156174,0.0,1.1296494,1.1296494,0.0,23.739319,23.739319,0.0,5.2509766,5.2509766,0.0,19.430553,19.430553,0.0,11.860618,11.860618,0.0,-0.4822546,-0.4822546,0.0
0.22956994,0.22956994,0.0,0.040543422,0.040543422,0.0,2246.2691110425276,2246.2691110425276,0.0,2273.2241925037383,2273.2241925037383,0.0,4611.09619140625,4611.09619140625,0.0,0.09527587890625,0.09527587890625,0.0,-374.83405,-374.83405,0.0,37.356556,37.356556,0.0,-1.3494444,-1.3494444,0.0,11.811408,11.811408,0.0,-18.977295,-18.977295,0.0,7.0638275,7.0638275,0.0,-23.248589,-23.248589,0.0,-5.745029,-5.745029,0.0,-12.144655,-12.144655,0.0,-12.705446,-12.705446,0.0,-6.271003,-6.271003,0.0,-11.070591,-11.070591,0.0,-11.713228,-11.713228,0.0,-9.432665,-9.432665,0.0,-11.494448,-11.494448,0.0,0.03034302,0.03034302,0.0,-15.88031,-15.88031,0.0,-5.2534337,-5.2534337,0.0,-4.358381,-4.358381,0.0,-7.4329586,-7.4329586,0.0
0.22152522,0.22152522,0.0,0.053538173,0.053538173,0.0,2231.437959851538,2231.437959851538,0.0,2361.798867001598,2361.798867001598,0.0,4594.921366373698,4594.921366373698,0.0,0.08782506872106481,0.08782506872106481,0.0,-363.91345,-363.91345,0.0,35.377754,35.377754,0.0,0.4950281,0.4950281,0.0,6.951948,6.951948,0.0,-21.104704,-21.104704,0.0,3.9555662,3.9555662,0.0,-20.5953,-20.5953,0.0,-9.507833,-9.507833,0.0,-11.416482,-11.416482,0.0,-16.219374,-16.219374,0.0,-6.9133677,-6.9133677,0.0,-13.380577,-13.380577,0.0,-9.178368,-9.178368,0.0,-9.382992,-9.382992,0.0,-10.155123,-10.155123,0.0,-1.5820748,-1.5820748,0.0,-13.820464,-13.820464,0.0,1.0428445,1.0428445,0.0,7.806162,7.806162,0.0,8.691516,8.691516,0.0
0.21960945,0.21960945,0.0,0.06830773,0.06830773,0.0,2369.3180949802977,2369.3180949802977,0.0,2430.5588213469127,2430.5588213469127,0.0,5068.377685546875,5068.377685546875,0.0,0.09041793258101852,0.09041793258101852,0.0,-339.69812,-339.69812,0.0,29.891447,29.891447,0.0,-4.538947,-4.538947,0.0,10.271914,10.271914,0.0,-14.469085,-14.469085,0.0,1.0601404,1.0601404,0.0,-29.817759,-29.817759,0.0,-13.092666,-13.092666,0.0,-3.407422,-3.407422,0.0,-15.321093,-15.321093,0.0,-12.019755,-12.019755,0.0,-10.904015,-10.904015,0.0,-6.6168447,-6.6168447,0.0,-7.08684,-7.08684,0.0,-7.0087886,-7.0087886,0.0,13.622579,13.622579,0.0,0.8362274,0.8362274,0.0,18.10353,18.10353,0.0,17.675606,17.675606,0.0,4.3864856,4.3864856,0.0
0.22375926,0.22375926,0.0,0.064269714,0.064269714,0.0,2504.520889926111,2504.520889926111,0.0,2527.311037227785,2527.311037227785,0.0,5284.0586344401045,5284.0586344401045,0.0,0.09059199580439815,0.09059199580439815,0.0,-332.48215,-332.48215,0.0,25.612526,25.612526,0.0,-12.908209,-12.908209,0.0,-8.340041,-8.340041,0.0,-27.29246,-27.29246,0.0,4.248959,4.248959,0.0,-17.800264,-17.800264,0.0,-18.766178,-18.766178,0.0,-5.113087,-5.113087,0.0,-12.70452,-12.70452,0.0,-4.9839697,-4.9839697,0.0,-1.6284539,-1.6284539,0.0,6.318345,6.318345,0.0,4.4900055,4.4900055,0.0,8.428493,8.428493,0.0,15.821437,15.821437,0.0,-5.8620524,-5.8620524,0.0,9.632842,9.632842,0.0,8.270292,8.270292,0.0,1.9453034,1.9453034,0.0
0.26180878,0.26180878,0.0,0.032483183,0.032483183,0.0,2257.4170920147903,2257.4170920147903,0.0,2419.677818110409,2419.677818110409,0.0,4799.935404459636,4799.935404459636,0.0,0.0891101978443287,0.0891101978443287,0.0,-411.28397,-411.28397,0.0,37.374115,37.374115,0.0,-7.61334,-7.61334,0.0,7.1275983,7.1275983,0.0,-13.600197,-13.600197,0.0,3.4439676,3.4439676,0.0,-19.377161,-19.377161,0.0,-10.569905,-10.569905,0.0,-8.362795,-8.362795,0.0,-13.441212,-13.441212,0.0,-4.5036945,-4.5036945,0.0,-12.67777,-12.67777,0.0,-9.90955,-9.90955,0.0,-11.168432,-11.168432,0.0,-12.425666,-12.425666,0.0,2.9402828,2.9402828,0.0,-8.861372,-8.861372,0.0,4.799278,4.799278,0.0,8.725391,8.725391,0.0,4.448675,4.448675,0.0
0.31938097,0.31938097,0.0,0.03115685,0.03115685,0.0,1832.7821779052945,1832.7821779052945,0.0,2231.63108905465,2231.63108905465,0.0,3696.782430013021,3696.782430013021,0.0,0.07000167281539352,0.07000167281539352,0.0,-452.92752,-452.92752,0.0,56.88611,56.88611,0.0,5.2716885,5.2716885,0.0,7.2976413,7.2976413,0.0,-15.386577,-15.386577,0.0,3.2570498,3.2570498,0.0,-12.400043,-12.400043,0.0,-2.0849867,-2.0849867,0.0,-10.772683,-10.772683,0.0,-10.481808,-10.481808,0.0,-6.5176187,-6.5176187,0.0,-12.553918,-12.553918,0.0,-8.1043005,-8.1043005,0.0,-5.039316,-5.039316,0.0,-9.871322,-9.871322,0.0,2.1804564,2.1804564,0.0,-6.685098,-6.685098,0.0,-3.1639225,-3.1639225,0.0,1.2503349,1.2503349,0.0,-2.238511,-2.238511,0.0
0.28706288,0.28706288,0.0,0.029815886,0.029815886,0.0,2031.6897900766362,2031.6897900766362,0.0,2330.156856786044,2330.156856786044,0.0,4274.465433756511,4274.465433756511,0.0,0.07477597837094907,0.07477597837094907,0.0,-431.9386,-431.9386,0.0,40.750847,40.750847,0.0,-1.7315482,-1.7315482,0.0,18.062046,18.062046,0.0,-5.190774,-5.190774,0.0,3.4569578,3.4569578,0.0,-21.335789,-21.335789,0.0,-1.9436597,-1.9436597,0.0,-8.06348,-8.06348,0.0,-12.261736,-12.261736,0.0,-4.283039,-4.283039,0.0,-10.981721,-10.981721,0.0,-6.5162196,-6.5162196,0.0,-7.7809153,-7.7809153,0.0,-10.715875,-10.715875,0.0,1.0368322,1.0368322,0.0,-9.1126585,-9.1126585,0.0,-3.4043183,-3.4043183,0.0,-0.9718327,-0.9718327,0.0,-9.786743,-9.786743,0.0
0.23884676,0.23884676,0.0,0.038996525,0.038996525,0.0,2156.4249526408994,2156.4249526408994,0.0,2364.7297925251905,2364.7297925251905,0.0,4589.1143798828125,4589.1143798828125,0.0,0.08236016167534722,0.08236016167534722,0.0,-416.02234,-416.02234,0.0,29.381908,29.381908,0.0,-2.9522836,-2.9522836,0.0,1.6258807,1.6258807,0.0,-25.970518,-25.970518,0.0,-0.3224889,-0.3224889,0.0,-22.291306,-22.291306,0.0,-12.755976,-12.755976,0.0,-8.620913,-8.620913,0.0,-15.603576,-15.603576,0.0,-4.7681417,-4.7681417,0.0,-11.9028635,-11.9028635,0.0,-5.535854,-5.535854,0.0,-10.066377,-10.066377,0.0,-14.780265,-14.780265,0.0,7.2395406,7.2395406,0.0,-3.4680958,-3.4680958,0.0,17.181208,17.181208,0.0,21.017538,21.017538,0.0,10.472656,10.472656,0.0
0.32606378,0.32606378,0.0,0.02575582,0.02575582,0.0,1956.2139734979578,1956.2139734979578,0.0,2360.164542281578,2360.164542281578,0.0,4142.275492350261,4142.275492350261,0.0,0.06328215422453703,0.06328215422453703,0.0,-430.84195,-430.84195,0.0,44.786453,44.786453,0.0,-2.0311818,-2.0311818,0.0,14.209906,14.209906,0.0,-7.840335,-7.840335,0.0,1.4466146,1.4466146,0.0,-16.59901,-16.59901,0.0,-1.6690134,-1.6690134,0.0,-8.736495,-8.736495,0.0,-10.626307,-10.626307,0.0,-2.4793239,-2.4793239,0.0,-9.40218,-9.40218,0.0,-9.36134,-9.36134,0.0,-7.7930665,-7.7930665,0.0,-7.6748652,-7.6748652,0.0,0.6542552,0.6542552,0.0,-7.5642614,-7.5642614,0.0,-4.341833,-4.341833,0.0,-0.28793094,-0.28793094,0.0,-6.010262,-6.010262,0.0
0.3609754,0.3609754,0.0,0.03190287,0.03190287,0.0,1814.442083598471,1814.442083598471,0.0,2365.620685109725,2365.620685109725,0.0,3999.2192586263022,3999.2192586263022,0.0,0.05338315610532408,0.05338315610532408,0.0,-439.28763,-439.28763,0.0,38.889084,38.889084,0.0,0.8836715,0.8836715,0.0,7.92758,7.92758,0.0,-9.25711,-9.25711,0.0,3.656614,3.656614,0.0,-21.764029,-21.764029,0.0,-5.0655723,-5.0655723,0.0,-4.4674234,-4.4674234,0.0,-9.086156,-9.086156,0.0,-3.277229,-3.277229,0.0,-7.829224,-7.829224,0.0,-9.226255,-9.226255,0.0,-7.6513433,-7.6513433,0.0,-7.4940863,-7.4940863,0.0,2.669226,2.669226,0.0,-12.330636,-12.330636,0.0,-0.1338867,-0.1338867,0.0,0.98990434,0.98990434,0.0,-7.05921,-7.05921,0.0
0.2109271,0.2109271,0.0,0.07996192,0.07996192,0.0,2374.7760776225077,2374.7760776225077,0.0,2458.8438195763497,2458.8438195763497,0.0,5124.378967285156,5124.378967285156,0.0,0.0902099609375,0.0902099609375,0.0,-328.44965,-328.44965,0.0,23.845924,23.845924,0.0,-3.0664854,-3.0664854,0.0,2.0506513,2.0506513,0.0,-23.552944,-23.552944,0.0,3.8286111,3.8286111,0.0,-23.58276,-23.58276,0.0,-15.557722,-15.557722,0.0,-8.239925,-8.239925,0.0,-17.319351,-17.319351,0.0,-6.8899956,-6.8899956,0.0,-10.839846,-10.839846,0.0,-8.868491,-8.868491,0.0,-12.558149,-12.558149,0.0,-8.026875,-8.026875,0.0,11.261814,11.261814,0.0,4.1354213,4.1354213,0.0,28.895964,28.895964,0.0,29.925455,29.925455,0.0,12.799803,12.799803,0.0
0.19624965,0.19624965,0.0,0.06806902,0.06806902,0.0,2666.4210720321244,2666.4210720321244,0.0,2479.3410005697724,2479.3410005697724,0.0,5372.957865397136,5372.957865397136,0.0,0.09563078703703703,0.09563078703703703,0.0,-326.89587,-326.89587,0.0,20.387194,20.387194,0.0,-9.812156,-9.812156,0.0,-7.130578,-7.130578,0.0,-31.064377,-31.064377,0.0,4.3740673,4.3740673,0.0,-24.822502,-24.822502,0.0,-22.774618,-22.774618,0.0,-8.691303,-8.691303,0.0,-13.383335,-13.383335,0.0,-6.9042153,-6.9042153,0.0,-4.9475718,-4.9475718,0.0,5.4653726,5.4653726,0.0,9.6283,9.6283,0.0,14.287225,14.287225,0.0,24.820961,24.820961,0.0,-4.006619,-4.006619,0.0,7.8357635,7.8357635,0.0,10.74076,10.74076,0.0,0.7114385,0.7114385,0.0
0.4050905,0.4050905,0.0,0.036927674,0.036927674,0.0,1935.4866386748001,1935.4866386748001,0.0,2513.1224512900317,2513.1224512900317,0.0,4418.6431884765625,4418.6431884765625,0.0,0.05155888310185185,0.05155888310185185,0.0,-460.53064,-460.53064,0.0,29.992807,29.992807,0.0,1.9510854,1.9510854,0.0,4.102428,4.102428,0.0,-6.3642845,-6.3642845,0.0,5.3293633,5.3293633,0.0,-13.557133,-13.557133,0.0,-10.578314,-10.578314,0.0,-2.3490953,-2.3490953,0.0,-7.924712,-7.924712,0.0,-1.382965,-1.382965,0.0,-8.680538,-8.680538,0.0,-4.6864147,-4.6864147,0.0,-6.939129,-6.939129,0.0,-5.018691,-5.018691,0.0,5.816877,5.816877,0.0,-2.103339,-2.103339,0.0,9.681035,9.681035,0.0,11.714059,11.714059,0.0,5.9746704,5.9746704,0.0
